,auc_prob,auc_pred,fbeta,f1,plr,nlr,perm_score,pval_score,train_score,fold,gen,model,subset
0,0.57679,0.55689,0.70508,0.70508,1.26559,0.80095,0.50033,0.14851,0.53263,0,m,bnb,top5
1,0.57679,0.55689,0.70508,0.70508,1.26559,0.80095,0.50033,0.14851,0.53263,0,m,bnb,top5
2,0.57679,0.55689,0.70508,0.70508,1.26559,0.80095,0.50033,0.14851,0.53263,0,m,bnb,top5
3,0.57679,0.55689,0.70508,0.70508,1.26559,0.80095,0.50033,0.14851,0.53263,0,m,bnb,top5
4,0.57679,0.55689,0.70508,0.70508,1.26559,0.80095,0.50033,0.14851,0.53263,0,m,bnb,top5
5,0.57679,0.55689,0.70508,0.70508,1.26559,0.80095,0.50033,0.14851,0.53263,0,m,bnb,top5
6,0.57679,0.55689,0.70508,0.70508,1.26559,0.80095,0.50033,0.14851,0.53263,0,m,bnb,top5
7,0.57679,0.55689,0.70508,0.70508,1.26559,0.80095,0.50033,0.14851,0.53263,0,m,bnb,top5
8,0.57679,0.55689,0.70508,0.70508,1.26559,0.80095,0.50033,0.14851,0.53263,0,m,bnb,top5
9,0.57679,0.55689,0.70508,0.70508,1.26559,0.80095,0.50033,0.14851,0.53263,0,m,bnb,top5
0,0.56587,0.54991,0.67987,0.67987,1.21716,0.81524,0.49499,0.0099,0.59684,1,m,bnb,top5
1,0.56587,0.54991,0.67987,0.67987,1.21716,0.81524,0.49499,0.0099,0.59684,1,m,bnb,top5
2,0.56587,0.54991,0.67987,0.67987,1.21716,0.81524,0.49499,0.0099,0.59684,1,m,bnb,top5
3,0.56587,0.54991,0.67987,0.67987,1.21716,0.81524,0.49499,0.0099,0.59684,1,m,bnb,top5
4,0.56587,0.54991,0.67987,0.67987,1.21716,0.81524,0.49499,0.0099,0.59684,1,m,bnb,top5
5,0.56587,0.54991,0.67987,0.67987,1.21716,0.81524,0.49499,0.0099,0.59684,1,m,bnb,top5
6,0.56587,0.54991,0.67987,0.67987,1.21716,0.81524,0.49499,0.0099,0.59684,1,m,bnb,top5
7,0.56587,0.54991,0.67987,0.67987,1.21716,0.81524,0.49499,0.0099,0.59684,1,m,bnb,top5
8,0.56587,0.54991,0.67987,0.67987,1.21716,0.81524,0.49499,0.0099,0.59684,1,m,bnb,top5
9,0.56587,0.54991,0.67987,0.67987,1.21716,0.81524,0.49499,0.0099,0.59684,1,m,bnb,top5
0,0.54473,0.53332,0.68143,0.68143,1.14574,0.87725,0.5022,0.0099,0.57305,2,m,bnb,top5
1,0.54473,0.53332,0.68143,0.68143,1.14574,0.87725,0.5022,0.0099,0.57305,2,m,bnb,top5
2,0.54473,0.53332,0.68143,0.68143,1.14574,0.87725,0.5022,0.0099,0.57305,2,m,bnb,top5
3,0.54473,0.53332,0.68143,0.68143,1.14574,0.87725,0.5022,0.0099,0.57305,2,m,bnb,top5
4,0.54473,0.53332,0.68143,0.68143,1.14574,0.87725,0.5022,0.0099,0.57305,2,m,bnb,top5
5,0.54473,0.53332,0.68143,0.68143,1.14574,0.87725,0.5022,0.0099,0.57305,2,m,bnb,top5
6,0.54473,0.53332,0.68143,0.68143,1.14574,0.87725,0.5022,0.0099,0.57305,2,m,bnb,top5
7,0.54473,0.53332,0.68143,0.68143,1.14574,0.87725,0.5022,0.0099,0.57305,2,m,bnb,top5
8,0.54473,0.53332,0.68143,0.68143,1.14574,0.87725,0.5022,0.0099,0.57305,2,m,bnb,top5
9,0.54473,0.53332,0.68143,0.68143,1.14574,0.87725,0.5022,0.0099,0.57305,2,m,bnb,top5
0,0.52507,0.50919,0.68023,0.68023,1.04015,0.9661,0.49786,0.0396,0.56387,3,m,bnb,top5
1,0.52507,0.50919,0.68023,0.68023,1.04015,0.9661,0.49786,0.0396,0.56387,3,m,bnb,top5
2,0.52507,0.50919,0.68023,0.68023,1.04015,0.9661,0.49786,0.0396,0.56387,3,m,bnb,top5
